Link,Title,Category,Release Date,is_new
https://ntucace.ntu.edu.tw//bulletin/detail/sn/44,【英業達】市場趨勢調查 / 軟體研發 / Audio / Video&AI / 專案管理 / 人才趨勢分析實習生 / 策略中心Backend、AI實習生,實習,2024-05-05,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/40,【晶豪科技】HR、ESG、營運管理、RF韌體、RF硬體、DRAM IC設計、馬達驅動控制、音訊與電源IC 等實習,實習,2024-04-26,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/38,【華城電機】執行長室 新事業企劃實習 / 總經理室 智慧製造發展中心 工業工程實習,實習,2024-04-22,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/36,【廣達電腦】新市場業務開發/企業永續管理/資安查核/資訊安全工程 實習生,實習,2024-04-15,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/45,【職涯培訓說明會】職場商務禮儀 & 勞動權益介紹,活動,2024-05-28,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/32,【工作坊】職涯培訓工作坊｜一對一履歷健檢,活動,2024-04-09,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/16,【課程】實習先備課程：超前部署你的職涯  112-2開課囉!,活動,2024-01-15,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/11,「人才永續 產學共育」倡議   臺大攜手企業打造臺灣產業競爭力,活動,2023-12-13,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/17,2023 「臺灣引路人 – 跨領域實習專案」計畫說明暨成果分享會 圓滿落幕!,活動,2023-10-25,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/39,【說明會】五月份實習計畫說明會 - 大潤發 / La Prairie Taiwan 台灣萊珀妮 / 英業達 / 台達電子,說明會,2024-04-16,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/24,【說明會】四月份實習計畫說明會 -  台泥企業團 / 聯華電子 / 友達光電 / 工研院 / 廣達電腦 / 特力集團 / 華城電機 / 晶豪科技,說明會,2024-03-27,True
https://ntucace.ntu.edu.tw//bulletin/detail/sn/18,【說明會】三月份實習計畫說明會 - 中國信託 / XRSPACE / Pfizer輝瑞 / TFT 為台灣而教 / 遠傳電信 / 中鼎工程,說明會,2024-03-01,True
